# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
  23000      4.18e-02    3.93e-02      9.82e-04    3.25e-04      9.29e-03    9.30e-03    1.7e-05
  23100      4.03e-02    3.97e-02      5.66e-04    3.65e-04      9.40e-03    9.39e-03    1.7e-05
  23200      3.85e-02    3.88e-02      3.29e-04    3.84e-04      9.12e-03    9.17e-03    1.7e-05
  23300      4.00e-02    3.89e-02      6.55e-04    3.92e-04      9.23e-03    9.17e-03    1.7e-05
  23400      3.94e-02    3.89e-02      4.60e-04    3.35e-04      9.27e-03    9.21e-03    1.7e-05
  23500      3.89e-02    3.93e-02      4.55e-04    3.92e-04      9.13e-03    9.28e-03    1.7e-05
  23600      3.81e-02    3.97e-02      3.71e-04    4.14e-04      8.99e-03    9.36e-03    1.7e-05
  23700      3.92e-02    3.93e-02      4.74e-04    3.66e-04      9.20e-03    9.29e-03    1.7e-05
  23800      3.92e-02    3.96e-02      3.79e-04    3.95e-04      9.25e-03    9.34e-03    1.7e-05
  23900      4.10e-02    4.00e-02      7.43e-04    6.76e-04      9.39e-03    9.21e-03    1.7e-05
  24000      3.85e-02    3.89e-02      3.78e-04    3.88e-04      9.08e-03    9.18e-03    1.7e-05
  24100      3.93e-02    3.95e-02      5.52e-04    3.60e-04      9.15e-03    9.33e-03    1.7e-05
  24200      4.10e-02    3.84e-02      7.06e-04    4.48e-04      9.43e-03    9.01e-03    1.7e-05
  24300      3.85e-02    3.89e-02      4.87e-04    4.70e-04      9.03e-03    9.13e-03    1.7e-05
  24400      4.01e-02    3.96e-02      5.82e-04    4.49e-04      9.33e-03    9.30e-03    1.7e-05
  24500      3.91e-02    3.92e-02      5.76e-04    3.95e-04      9.10e-03    9.26e-03    1.7e-05
  24600      3.81e-02    3.96e-02      4.48e-04    4.33e-04      8.95e-03    9.31e-03    1.7e-05
  24700      3.90e-02    3.88e-02      4.61e-04    3.09e-04      9.15e-03    9.20e-03    1.7e-05
  24800      3.97e-02    3.95e-02      3.90e-04    4.42e-04      9.36e-03    9.29e-03    1.7e-05
  24900      3.91e-02    3.84e-02      3.53e-04    2.87e-04      9.24e-03    9.12e-03    1.7e-05
  25000      2.87e-02    2.46e-02      9.06e-04    3.62e-04      9.47e-03    9.10e-03    5.9e-06
  25100      2.55e-02    2.70e-02      5.40e-04    6.90e-04      9.13e-03    9.38e-03    5.9e-06
  25200      2.45e-02    2.49e-02      3.54e-04    4.15e-04      9.06e-03    9.15e-03    5.9e-06
  25300      2.54e-02    2.49e-02      4.71e-04    4.78e-04      9.22e-03    9.03e-03    5.9e-06
  25400      2.50e-02    2.62e-02      3.07e-04    6.88e-04      9.34e-03    9.07e-03    5.9e-06
  25500      2.42e-02    2.48e-02      2.65e-04    3.51e-04      9.07e-03    9.21e-03    5.9e-06
